%s is not correct comparsion method.,%s  metode comparsion tidak benar.
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<Strong> Perhatikan </ strong>, bahwa Pengaturan ini berlaku untuk produk keranjang tidak seluruh Cart."
Allow Qty Below 0,Biarkan Qty bawah 0
Allow Qty Below 0 and Notify Customer,Biarkan Qty bawah 0 dan Beritahu Pelanggan
Backorders,Backorders
By Fixed value,Dengan nilai Tetap
By Percentage,Dengan Persentase
Can not specify product identifier for order item,Tidak bisa menentukan identifier produk untuk item pesanan
Catalog Inventory,Katalog Persediaan
Decrease Stock When Order is Placed,Penurunan Bursa Ketika Order Ditempatkan
In Stock,Tersedia
Inventory,Inventaris
Inventory API,Persediaan API
Inventory Section,Persediaan Bagian
Manage Stock,Mengelola Stock
Maximum Qty Allowed in Shopping Cart,Maksimum Jumlah Diizinkan Troli Belanja
Minimum Qty Allowed in Shopping Cart,Minimum Jumlah Diizinkan Troli Belanja
No Backorders,Tidak ada backorders
Notify for Quantity Below,Beritahu untuk Quantity bawah
Out of Stock,Stok Habis
Product Stock Options,Stok Produk Pilihan
Qty for Items' Status to become Out of Stock,Jumlah untuk Status Produk untuk menjadi Habis
Retrieve stock data,Mengambil data saham
Retrieve stock data by product ids,Mengambil data saham oleh id produk
Rule price,Harga aturan
Set Items' Status to be In Stock When Order is Cancelled,Status Produk Set 'menjadi Stok Ketika Order Dibatalkan
Some of the products are currently out of stock,Beberapa produk yang saat ini keluar dari saham
Some of the products can not be ordered in requested quantity,Beberapa produk tidak dapat dipesan dalam jumlah yang diminta
Some of the products cannot be ordered in the requested quantity,Beberapa produk tidak dapat dipesan dalam jumlah yang diminta
Stock Options,Pilihan Persediaan
Stock item for Product in option is not valid,Stok barang untuk produk dalam pilihan tidak valid
Stock item for Product is not valid,Stok barang untuk Produk tidak valid
The maximum quantity allowed for purchase is %s.,Jumlah maksimal yang diperbolehkan untuk pembelian %s.
The minimum quantity allowed for purchase is %s.,Jumlah minimum yang diperbolehkan untuk pembelian %s.
"The requested quantity for ""%s"" is not available.","Kuantitas diminta untuk ""%s"" tidak tersedia."
The requested quantity is not available.,Kuantitas yang diminta tidak tersedia.
This product is currently out of stock.,Produk ini saat ini keluar dari saham.
To Fixed Value,Untuk Nilai Tetap
To Percentage,Untuk Persentase
Update,Memperbarui
Update product stock data,Perbarui data stok produk
Update the Product,Memperbarui Produk
