%s and greater,%s dan lebih besar
<strong>%d item(s)</strong> were found using the following search criteria,<Strong>%d item (s) </ strong> yang ditemukan menggunakan kriteria pencarian berikut
Advanced Search,Pencarian Lanjutan
Advanced Search Form,Pencarian Form
Advanced Search Result,Pencarian Hasil
All,Semua
"Applies for ""Like"" search type only.","Berlaku untuk ""Like"" pencarian ketik saja."
Apply Layered Navigation if Search Results are Less Than,Terapkan Layered Navigasi jika Search Results adalah Kurang Dari
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Atribut pengaturan perubahan terkait dengan Indeks Cari. Jalankan <a href=""%s""> Rebuild proses pencarian Indeks </a>."
Autogenerated Site Map,Software otomatis Peta Situs
Catalog Advanced Search,Katalog Pencarian Lanjutan
Catalog Search,Katalog Cari
Catalog Search Index,Katalog Indeks Cari
Don't see what you're looking for?,Tidak melihat apa yang Anda cari?
"Enter ""0"" to enable layered navigation for any number of results.","Masukkan ""0"" untuk mengaktifkan navigasi berlapis untuk sejumlah hasil."
Go,Pergi
Go to Home Page,Pergi ke Halaman
Grid,Kisi
Home,Rumah
List,Daftar
Maximum Query Length,Maksimum Query Panjang
Maximum Query Words Count,Kata Query maksimum Hitung
Maximum Search query length is %s. Your query was cut.,Maksimum panjang Cari query%s. Query Anda dipotong.
Maximum words count is %1$s. In your search query was cut next part: %2$s.,Kata maksimum count adalah% 1 $ s. Dalam permintaan pencarian Anda dipotong bagian berikutnya:% 2 $ s.
Minimal Query Length,Minimal Query Panjang
Minimum Search query length is %s,Panjang minimum Cari query%s
Modify your search,Modifikasi pencarian Anda
No,Tidak
No items were found using the following search criteria.,Tidak ada item yang ditemukan menggunakan kriteria pencarian berikut.
Please specify at least one search term.,Silakan tentukan setidaknya satu istilah pencarian.
Popular Search Terms,Pencarian Populer
Quick Search Form,Cepat Form Pencarian
Rebuild Catalog product fulltext search index,Membangun kembali produk Katalog indeks pencarian fulltext
Relevance,Hubungan
Results,Hasil
Search,Pencarian
Search Settings,Cari Pengaturan
Search Terms,Pencarian
Search Type,Cari Tipe
Search entire store here...,Cari seluruh toko di sini ...
Search results for '%s',Hasil pencarian untuk '%s'
Search results for: '%s',Hasil pencarian untuk: '%s'
Search:,Cari:
Specified date is invalid.,Tanggal yang ditentukan tidak valid.
Subscribe to Feed,Berlangganan Feed
There are no search terms available.,Tidak ada istilah pencarian yang tersedia.
Yes,Iya Nih
Your search returns no results.,Pencarian anda tidak ada hasil.
up to %s,sampai%s
